mN/GeV	BrNtovee	BrNtovmumu	BrNtovemu	BrNto2tracks	BrNtoinvistoMATHUSLA
0.15933798659808399	0.06420486771732425	0	0.0034663189141081303	0.47346255803873305	0.45886625532983455
0.16221867045640645	0.056189127238933614	0	0.0035215557712581363	0.4944511480231035	0.44583816896670464
0.16515143442235905	0.05000544164022838	0	0.0036075130834373006	0.5111607767336545	0.4352262685426799
0.1681372200562602	0.045146906096972084	0	0.0037200911114486077	0.5246724623118373	0.4264605404797422
0.17117698594097053	0.041269212545133396	0	0.003856370876697779	0.5357473238953714	0.41912709268279746
0.17427170798964473	0.038132994345008886	0	0.004014295019085446	0.544931135156789	0.4129215754791166
0.17742237975904745	0.03556815056005612	0	0.004192428775261835	0.5526224814806322	0.40761693918404984
0.18063001276853347	0.03345133199969718	0	0.0043897929567043486	0.5591175749191775	0.40304130012442096
0.18389563682479446	0.031691425436300866	0	0.004605745450311184	0.5646401496739827	0.3990626794394053
0.1872203003524776	0.03021999219232596	0	0.004839897154221175	0.5693617372824281	0.39557837337102475
0.19060507073078084	0.028984839464048697	0	0.005092051824679925	0.5734156528518267	0.3925074558594445
0.19405103463613352	0.027945613582467627	0	0.0053621625726339404	0.5769068048441636	0.38978541900073493
0.197559298391073	0.027070724331014765	0	0.0056503000411069265	0.5799186858037405	0.3873602898241378
0.20113098831942758	0.026335162069181454	0	0.005956628857378307	0.5825184294511249	0.38518977962231526
0.2047672511079219	0.025718924332105743	0	0.006281389587370975	0.5847605210376987	0.3832391650428247
0.2084692541743191	0.025205865304213326	0	0.006624887104906399	0.5866895542169496	0.38147969337393084
0.21223818604221875	0.024782843409846073	1.0974037391935387e-10	0.0069874778131475855	0.5883423077872504	0.3798873708800156
0.2160752567226312	0.02443908079363961	4.129768022922799e-8	0.007369563197991967	0.5897493002146559	0.37844201449603226
0.21998169810245002	0.02416567544431528	3.184264276568731e-7	0.0077715822769238805	0.5909359379754416	0.3771264858768916
0.22395876433994763	0.02395523084213647	1.1132738770776664e-6	0.00819400696170047	0.591923498616667	0.37592615030561893
0.22800773226742174	0.02380156914547066	2.7351429900697843e-6	0.008637338470156663	0.5927299063062968	0.37482845093508566
0.23212990180112017	0.023699506296358697	5.499845319636024e-6	0.009102104275648564	0.593370330294663	0.37382255928801006
0.23632659635857797	0.023644674508592756	9.71968845196246e-6	0.009588855575913506	0.5938576583133859	0.37289909191365594
0.2405991632834988	0.023633381078486306	0.00001569843245877687	0.010098165179202112	0.5942028752916587	0.3720498800181939
0.2449489742783178	0.023662495246268074	0.000023728846101413626	0.010630625716989856	0.5944153689679865	0.37126778122265414
0.2493774258445853	0.023729356888161836	0.00003409170925272011	0.011186848109646024	0.5945031783897268	0.37054652490321277
0.2538859397313119	0.023831702326252435	0.00004705563891157415	0.011767460226208176	0.594473197381723	0.3698805844269049
0.2584759633914188	0.023967603656772665	0.00006287738242783625	0.012373105691205812	0.5943313422269847	0.36926507104260897
0.2631489704464419	0.02413541882656476	0.00008180236664406126	0.013004442800699848	0.5940826907020245	0.36869564530406695
0.2679064611596348	0.024333750309715116	0.00010406537512204881	0.01366214351687873	0.5937315980341844	0.36816844276409966
0.2727499629176276	0.02456141070698131	0.00012989127544275227	0.014346892516140453	0.5932817941541723	0.3676800113472631
0.27768103072079214	0.02481739394924679	0.00015949574907037997	0.015059386269954967	0.5927364657035938	0.367227258328134
0.2827012476824727	0.02510085106147219	0.0001930859952735565	0.015800332141232488	0.592098325552845	0.36680740524917665
0.28781222553724317	0.025411069656305553	0.000230861392554465	0.016570447481634575	0.5913696720374598	0.3664179494320456
0.2930156051583522	0.025747456491958125	0.00027301410859828496	0.017370458717423293	0.590552439692877	0.36605663098914326
0.29831305708452327	0.026109522558453255	0.00031972965452372237	0.01820110041317791	0.589648242930517	0.3657214044433281
0.30370628205628	0.026496870258332424	0.00037118738219389506	0.01906311430411522	0.5886584138310302	0.36541041422432824
0.3091970115619657	0.026909182328668294	0.0004275609251722904	0.01995724828890405	0.587584035017826	0.3651219734394294
0.31478700839363655	0.027346212215555492	0.0004890185849821713	0.02088425537582761	0.5864259684035339	0.36485454542010076
0.32047806721300337	0.02780777566764054	0.0005557236650006654	0.021844892439074795	0.5851848805466444	0.3646067276816395
0.32627201512760556	0.02829374332940601	0.00062783475406424	0.02283991960507804	0.5838612646685527	0.36437723764289887
0.3321707122774021	0.02880403423046925	0.0007055059635402776	0.023870098189488705	0.5824554610262851	0.3641649005902169
0.338176052431967	0.029338609957448653	0.0007888871189784611	0.024936189960330066	0.5809676743566274	0.3639686386066155
0.34428996359848163	0.029897469454403518	0.0008781239099302456	0.026038955627870963	0.5793979899653928	0.36378746104240234
0.3505144086407193	0.030480644333643794	0.0009733579998653932	0.027179153400274294	0.5777463882262953	0.36362045603992116
0.3568513859092202	0.031088194621299397	0.0010747270984654753	0.028357537461004525	0.5760127578013289	0.36346678301790175
0.3633029298828596	0.03172020487056987	0.0011823649983535348	0.02957485636558494	0.5741969077753841	0.3633256659901076
0.3698711118220143	0.03237678058595588	0.00129640157817341	0.0308318513557978	0.5722985788688343	0.3631963876112387
0.376558040433539	0.033058044910460785	0.0014169627738078998	0.032129254589937484	0.5703174538674046	0.3630782838583894
0.38336586254776345	0.03376413553505268	0.0015441705194080945	0.033467787288264196	0.5682531673879938	0.36297073926928125
0.3902967638077302	0.03449520179585304	0.0016781426598194958	0.03484815779337024	0.5661053150815524	0.36287318266940477
0.39735296937089215	0.03525140192976668	0.0018189928359074606	0.03627105954576251	0.5638734623591025	0.3627850833294609
0.4045367446234972	0.036032900463758344	0.0019668303442394283	0.03773716897559158	0.5615571527140492	0.36270594750236146
0.41185039590788736	0.036839865716842855	0.002121759972537772	0.0392471433121144	0.5591559157027512	0.3626353152957538
0.41929627126294755	0.03767246739720458	0.0022838818123003604	0.04080161831317447	0.5566692746355479	0.36257275784177273
0.42687676117794	0.03853087427977752	0.002453291049990551	0.04240120591771091	0.5540967540218841	0.36251787473063685
0.4345942993599685	0.03941525195218275	0.0026300777381987888	0.04404649182507484	0.5514378868056034	0.36247029167894024
0.4424513635153171	0.040325760619184366	0.002814326548222737	0.045738033005727326	0.5486922214197402	0.36242965840712543
0.4504504761449145	0.04126255295784644	0.003006116505542916	0.04747635514872609	0.545859328684106	0.36239564670377855
