mN/GeV	c tau (meters) for Ue = 1
0.1	273.5879973875826
0.10131254692562633	256.3181764616647
0.10264232164557235	240.1385072849073
0.1039895502827228	224.9801725643964
0.10535446192793131	210.77869935027073
0.10673728867897654	197.47368472773192
0.10813826568002934	185.0085322364932
0.10955763116163819	173.33017873846995
0.1109956264812393	162.38884275238777
0.11245249616419847	152.1378110566337
0.11392848794539173	142.53325290291966
0.11542385281133152	133.53405373667047
0.1169388450428461	125.10166278688675
0.11847372225831888	117.19995072430707
0.12002874545749555	109.79507491105197
0.12160417906586572	102.85535070042913
0.12320029097962787	96.35112789025764
0.12481735261124366	90.254671863259
0.1264556389355907	84.5400492224211
0.12811542853672092	79.18301789250442
0.12979700365523264	74.16092174465021
0.13150065023626448	69.45258982690078
0.1332266579781192	65.03824033456155
0.1349753203815257	60.899389279244595
0.1367469347995477	55.8038818191553
0.1385418024881474	49.25337365081546
0.14036022865741288	41.62035463660619
0.14220252252345783	32.950645663107984
0.14406899736100254	25.385065074357744
0.14595997055664506	19.502650916447912
0.1478757636628314	15.125775612660703
0.1498167024525343	11.900700312062359
0.1517831169746498	9.509905658937983
0.15377534161012038	7.714733795103134
0.15579371512879533	6.346151282584556
0.1578385807470374	5.286460492699379
0.15991028618608485	4.453617033239632
0.1620091837311806	3.789893662053815
0.16413563029147651	3.254144434936716
0.16628998746072468	2.8166207088165605
0.16847262157876478	2.4555010711822844
0.17068390379381893	2.154552252068405
0.1729242101256037	1.9015352331169642
0.17519392152927094	1.687105342609091
0.17749342396018752	1.5040431356206623
0.17982310843956587	1.3467094101865125
0.1821833711209551	1.210654023749679
0.1845746133576056	1.0923316003676953
0.1869972417707175	0.9888924646605631
0.18945166831858506	0.8980271655750095
0.19193831036664843	0.8178496239927584
0.194457590758465	0.7468084289605291
0.19700993788761226	0.6836188661697502
0.19959578577053444	0.6272103700132079
0.20221557412034527	0.5766855592082317
0.20486974842159944	0.5312880506811757
0.2075587600060456	0.49037698104390826
0.21028306612937306	0.4534066990645846
0.2130431300489669	0.4199104677987175
0.21583942110268264	0.38948729490618195
0.21867241478865562	0.3617912404171854
0.2215425928461569	0.3365227010618532
0.22445044333751205	0.31342124511860076
0.22739646073109315	0.29225969509015326
0.23038114598540224	0.27283921878189965
0.23340500663425628	0.2549852385892726
0.23646855687309218	0.23854400783296803
0.23957231764640283	0.22337973346606568
0.24271681673632242	0.20937214834537993
0.2459025888523731	0.19641445503095611
0.24913017572239052	0.18441157791303076
0.25240012618464214	0.1732786722481129
0.2557129962811556	0.16293984808844
0.2590693493522709	0.15332707462766706
0.26246975613243423	0.14437923655704654
0.26591479484724945	0.1360413189374352
0.2694050513118026	0.1282637010816238
0.2729411190302776	0.12100154319491456
0.27652359929687964	0.11421425218560978
0.2801531012980821	0.10786501524619649
0.2838302422162168	0.10192039161160632
0.2875556473344235	0.09634995439540595
0.2913299501429763	0.09112597564590749
0.29515379244700674	0.08622314879828485
0.2990278244756394	0.0816183435631105
0.3029527049925617	0.07729038901632679
0.30692910140804336	0.07321988126495099
0.31095768989242706	0.06938901257656226
0.3150391554911087	0.06578141929502923
0.3191741922410265	0.062382046233232916
0.32336350328867863	0.05917702555474852
0.3276078010096919	0.05615356836552155
0.3319078071299565	0.05329986763933258
0.3362642528483545	0.05060501100140336
0.34067787896109597	0.048058902359644905
0.3451494359876887	0.04565219133650356
0.3496796842985617	0.04337620963934871
0.3542693942443623	0.04122291360578318
0.3589193462869517	0.039184832253061144
0.3636303311321192	0.037255020241289225
0.36840314986403866	0.03542701523002165
0.3732386140814896	0.033694799168746736
0.3781375460358665	0.03205276311486115
0.3831007787709991	0.030495675219124507
0.3881291562648084	0.029018651559191203
0.39322353357282136	0.02761712953741616
0.3983847769735707	0.026286843590391778
0.4036137641159006	0.02502380298517119
0.40891138416820844	0.02382427150135281
0.4142785379696444	0.022684748819575405
0.41971613818329456	0.02160195345585507
0.4252251094513769	0.02057280709790555
0.4308063885524723	0.0195944202143925
0.4364609245608194	0.01866407882121144
0.4421896790077028	0.01777923230055532
0.4479936260449553	0.01693748217892839
0.45387375261061014	0.01613657177951706
0.45983105859672563	0.015374376672587028
0.4658665570194118	0.014648895854949953
0.4719812741910913	0.013958243596137515
0.47817624989501856	0.013300641894826219
0.4844525375620908	0.012674413494347314
0.49081120444998066	0.0120779754108664
0.49725333182461845	0.011509832932083516
0.5037800151440569	0.010968205655438788
0.5103923642447501	0.010451556010803545
0.517091503530276	0.009958766421421275
0.5238785721625376	0.009488763499449627
0.5307547242554721	0.009040517701969519
0.5377211290713038	0.008613042274634001
0.5447789712193724	0.00820539210435252
0.5519294508575707	0.007816473272266165
0.5591737838964281	0.0074445995985213675
0.5665132022058691	0.007089083234249762
0.5739489538246894	0.006749368305834166
0.5814823031727799	0.006424895218550328
0.5891145312661352	0.00611510446091267
0.5968469359346869	0.00581943985535114
0.6046808320429926	0.005537351309119809
0.6126175517138244	0.005268297116915006
0.6206584445546917	0.00501174586376645
0.6288048778873342	0.0047671779735392345
0.6370582369802328	0.00453408694499319
0.6454199252841663	0.004311980313904496
0.6538913646708632	0.004100380376347032
0.6624739956747866	0.003898824704925104
0.67116927773809	0.0037068664865895187
0.6799786894587896	0.003524074707687611
0.6889037288421951	0.0033500342091137315
0.6979459135556384	0.00318434563185069
0.7071067811865475	0.003026625270826283
0.7163878895039065	0.0028765048528512113
0.7257908167231498	0.0027336312524474504
0.7353171617745274	0.002597666157611423
0.7449685445750016	0.002468285695971686
0.7547466063037043	0.0023451800303855423
0.7646530096810125	0.0022280529317585045
0.7746894392512895	0.002116621335753728
0.784857601669334	0.002005904495916321
0.7951592259905896	0.0018924052746081114
0.805596063965163	0.001778726918910812
0.8161698903357044	0.0016669393241663425
0.8268825031391936	0.0015586006331774077
0.8377357240126891	0.0014548119518986
0.8487313985030909	0.0013562885563053345
0.8598713963809687	0.0012634348016104773
0.8711576119585073	0.001176414623834423
0.8825919644116281	0.0010952133181022507
0.8941763981063381	0.0010196889676699706
0.9059128829293591	0.0009496135876452557
0.9178034146231009	0.0008847049699665916
0.9298500151250296	0.0008246506144551789
0.9420547329114896	0.0007691252060306748
0.9544196433460364	0.0007178029966848147
0.9669468490323483	0.0006703493219648262
0.9796384801717635	0.0006264242692709447
0.9924966949255101	0.0005842741798398774
1.0055236797816978	0.0005456663412170342
1.0187216499271174	0.000509948942494496
1.0320928496239252	0.000476880133991539
1.045639552591273	0.0004462384366142095
1.0593640623919427	0.0004178215349641996
1.0732687128240586	0.0003914449498512103
1.0873558683179398	0.00036694067019885963
1.101627924338164	0.00034415579817122227
1.116087307790906	0.0003229512424475615
1.1307364774366209	0.00030320048107333205
1.1455779243081503	0.0002847884058055234
1.1606141721343117	0.0002676102532821716
1.1758477777690437	0.0002515706238795041
1.1912813316261963	0.00023658258618129414
1.2069174581200166	0.00022256686313497817
1.222758816111418	0.0002094510948863773
1.238808099360113	0.0001971691727355207
1.2550680369826743	0.00018566063847028492
1.2715413939166094	0.00017487014339107173
1.2882309713905276	0.0001647469615512999
1.3051396074004797	0.00015524455204421914
1.3222701771925465	0.00014632016552356664
1.3396255937517607	0.00013793449052457564
1.3572088082974532	0.000130051335533422
1.3750228107850915	0.00012263734312398697
1.3930706304147114	0.00011528042690180733
1.4113553361460225	0.00010796292919572258
1.4298800372202707	0.00010111083502241029
1.4486478836889503	0.000094694466300555
1.46766206694946	0.00008868604398443485
1.4869258202877884	0.00008305956600955813
1.5064424194283201	0.00007779069312701867
1.526215183090857	0.00007285664211312707
1.5462474735549578	0.00006823608587462526
1.5665426972316794	0.00006390906000125065
1.587104305242817	0.00005985687534672567
1.6079357940077643	0.00005606203624677721
1.6290407058380587	0.000052508164008322934
1.650422629539737	0.000049179925327934296
1.6720852010236016	0.000046062965320020107
1.694032103923491	0.00004314384485606252
1.7162670702226612	0.000040409981935704316
1.7387938808884054	0.00003784959682872787
1.7616163665149842	0.00003545166074397213
1.7847384079750073	0.000033205847797043124
1.808163937079355	0.00003110248998224776
1.8318969372457745	0.000029132534323728033
1.8559414441762372	0.000027287502345819762
1.8803015465431967	0.00002554569378029094
1.904981386684853	0.00002392647537805618
1.9299851613095393	0.000022409873640823386
1.9553171222093524	0.000020989367497549033
1.9809815769831558	0.000019356976702120757
2.0069828897690725	0.000018099548864492946
2.0333254819865823	0.0000169220787254592
2.0600138330883735	0.000015819599208701062
2.0870524813220515	0.000014787431312034823
2.1144460245018535	0.000013821195092504164
2.14219912079048	0.000012916774064276054
2.170316489491209	0.000012070307604821295
2.1988029118503873	0.000011278175381566823
2.2276632318704612	0.000010536974079982963
2.2569023571336846	9.843511081984075e-6
2.2865252596366323	9.194794603577022e-6
2.316536976635662	8.588007184424088e-6
2.3469426115034895	8.020514620871492e-6
2.3777473345969935	7.489835412543819e-6
2.4089563841364074	6.9936461127326266e-6
2.440575067096068	6.529763760699308e-6
2.4726087601068407	6.096139600874182e-6
2.505062910370391	5.6908508805382265e-6
2.537943036585462	5.312094054250079e-6
2.5712547298863115	4.958176713155511e-6
2.6050036547934563	4.627508327490706e-6
2.6391955501769018	4.318600862091682e-6
2.673836230232015	4.0300558471525195e-6
2.708931585468209	3.7605617134055377e-6
2.7444875837105913	3.5088895414122154e-6
2.78051027111478	3.2738868904394638e-6
2.817005773195022	3.0544722541707463e-6
2.85398029586581	2.849633243823256e-6
2.891440126497177	2.6584204625917615e-6
2.929391634983841	2.4799442253536015e-6
2.967841274828377	2.3133717697265892e-6
3.006795584238605	2.157922272311284e-6
3.046261187239396	2.012865039443662e-6
3.086244794799057	1.8775159649443567e-6
3.126753205970494	1.7512344460162172e-6
3.167793309047381	1.6334212550585823e-6
3.20937208273548	1.523515550245895e-6
3.251496597339333	1.420992688392333e-6
3.294174015964554	1.3253619601867855e-6
3.3374115957358788	1.2361646417626275e-6
3.3812166890312074	1.1529717193657105e-6
3.4255967447318496	1.0753822063879203e-6
3.470559309489182	1.0030213542567297e-6
3.5161120290079215	9.3553896356997e-7
3.5622626493462413	8.726079772056771e-7
3.609019018232971	8.139228033476033e-7
3.6563890864020583	7.591978910574294e-7
3.704380908944564	7.081666672488651e-7
3.7530026466784037	6.57787182629145e-7
3.802262567536056	6.133933758865951e-7
3.8521690479704924	5.720049858852381e-7
